zoning_name,parcel_count,total_parcel_area,ratio
근린상업지역,1,665.0583123351129,3.2099637274098806e-05
미분류,27270,29863516.427989848,0.8753571084646743
상업지역,3,131741.15541163192,9.629891182229641e-05
유통상업지역,1,11488.86890023972,3.2099637274098806e-05
일반상업지역,74,94420.99605643198,0.0023753731582833114
일반주거지역,2085,900362.5896661907,0.066927743716496
자연녹지지역,47,696362.5008733938,0.0015086829518826438
제1종일반주거지역,67,460279.20079141617,0.00215067569736462
제1종전용주거지역,60,16281.764928717575,0.0019259782364459282
제2종일반주거지역,935,1166410.5820589447,0.030013160851282382
제2종전용주거지역,6,1282.4539864584253,0.00019259782364459282
제3종일반주거지역,479,434380.2160699947,0.015375726254293327
준주거지역,125,82566.63483156553,0.00401245465926235
