BASE_DATE,ADM_CD,TOT_OA_CD,population,households,area_sqm,population_density,household_density
20250630,11240820,11240820020604,409,159.0,11796.745666539597,34670.57878174754,13478.29346283095
20250630,11240820,11240820021401,448,141.0,17705.163382380102,25303.35305721282,7963.778529167427
20250630,11240820,11240820020901,477,159.0,18210.517636511737,26193.654102595312,8731.218034198439
20250630,11240820,11240820020608,448,162.0,8539.627742250575,52461.30317642298,18970.38195218867
20250630,11240820,11240820021302,551,176.0,15655.73685116381,35194.76631718168,11241.885429807578
20250630,11240820,11240820020601,445,183.0,8947.528369514896,49734.40503593803,20452.575554104853
20250630,11240820,11240820021501,621,193.0,16329.561706533415,38029.18970884194,11819.055738818832
20250630,11240820,11240820020602,446,165.0,6179.2498003506935,72177.04647167493,26702.27055566449
20250630,11240820,11240820020603,452,167.0,7890.424214235508,57284.62598810901,21164.895000031425
20250630,11240820,11240820021301,647,209.0,15162.829774805236,42670.135430463255,13783.70680829493
20250630,11240820,11240820020609,415,118.0,11706.464072452362,35450.499607014346,10079.901093078777
20250630,11240820,11240820020610,546,177.0,16206.009033233157,33691.20669255058,10921.874697035626
20250630,11240820,11240820010102,593,254.0,29270.707669698597,20259.161708409294,8677.617325355752
20250630,11240820,11240820010107,488,152.0,18203.986082128056,26807.315595516677,8349.819611718309
20250630,11240820,11240820010105,495,159.0,16470.934646382106,30052.939352092464,9653.368397944852
20250630,11240820,11240820020605,444,148.0,9104.0176070933,48769.677208671266,16256.559069557088
20250630,11240820,11240820010203,439,122.0,526823.2332504491,833.2965827862448,231.5767268790931
20250630,11240820,11240820010101,567,287.0,15048.907506113932,37677.15362524784,19071.151835001994
20250630,11240820,11240820020606,537,160.0,8911.005414290623,60262.56017517513,17955.325191858512
20250630,11240820,11240820020607,621,193.0,11038.34593459016,56258.428905911715,17484.503669631176
20250630,11240820,11240820010110,444,139.0,10216.793496020027,43457.86182063493,13605.051335739314
20250630,11240820,11240820010104,596,316.0,20056.795512954424,29715.61432209105,15755.258600303308
20250630,11240820,11240820020611,463,144.0,14470.44939610249,31996.24194979775,9951.314990865823
20250630,11240820,11240820010106,501,202.0,9914.810180700782,50530.46814503807,20373.562006582215
20250630,11240820,11240820010108,415,157.0,8422.273822105039,49274.1044479929,18641.046742975628
20250630,11240820,11240820010109,575,174.0,12937.022977306746,44446.08323017021,13449.771273129767
20250630,11240820,11240820020005,0,0.0,50542.3234866568,0.0,0.0
20250630,11240820,11240820010103,400,156.0,10209.340443667968,39179.80815774322,15280.125181519854
20250630,11240820,11240820020704,621,197.0,7887.216146339598,78735.00465537538,24977.127080690738
20250630,11240820,11240820020703,620,225.0,14010.05534045512,44253.929405239534,16059.893735772412
20250630,11240820,11240820021502,652,200.0,19433.512542451306,33550.29095104379,10291.500291731223
20250630,11240820,11240820021002,405,129.0,7561.774572804248,53558.856601805266,17059.487658352788
20250630,11240820,11240820020702,588,249.0,14077.851516376997,41767.7370240743,17687.35802550085
20250630,11240820,11240820021102,402,123.0,92185.52502674049,4360.771388820434,1334.2658726987895
20250630,11240820,11240820021001,364,114.0,8890.892504540538,40940.77167327205,12822.109809761027
20250630,11240820,11240820021104,397,126.0,4937.995065719364,80397.00216714683,25516.428899396724
20250630,11240820,11240820020705,557,228.0,11261.16448450732,49462.025065551556,20246.573994516613
20250630,11240820,11240820021205,400,128.0,4181.25842893349,95664.97904843153,30612.79329549809
20250630,11240820,11240820021101,352,110.0,4819.22536488217,73040.78422333885,22825.245069793393
20250630,11240820,11240820021004,379,113.0,9127.106875359272,41524.65892814269,12380.7030577312
20250630,11240820,11240820021207,455,110.0,8794.009555616174,51739.76638556419,12508.514950356177
20250630,11240820,11240820021103,383,129.0,5718.1207000422755,66980.04818211836,22559.85957047851
20250630,11240820,11240820021204,497,137.0,7387.312075737921,67277.51513737891,18545.311013724167
20250630,11240820,11240820020803,519,168.0,16449.336240941317,31551.4250786754,10213.178060149263
20250630,11240820,11240820021003,430,127.0,5832.34714345187,73726.75004140868,21775.109895950936
20250630,11240820,11240820020802,580,174.0,12925.165312422572,44873.70072106955,13462.110216320867
20250630,11240820,11240820020801,624,198.0,18482.674533840735,33761.34762625892,10712.735304486003
20250630,11240820,11240820021202,602,164.0,10455.189276502966,57579.06280596346,15685.990531857156
20250630,11240820,11240820021206,547,133.0,7631.310178956794,71678.38643334707,17428.199992020403
20250630,11240820,11240820021203,447,138.0,5437.540661078323,82206.28182141356,25379.1205623156
20250630,11240820,11240820021208,531,163.0,5419.208769199454,97984.78387066112,30078.191658978838
20250630,11240820,11240820021209,578,164.0,5702.832381671661,101353.14547515631,28757.639892604904
20250630,11240820,11240820021201,496,153.0,5594.869879647751,88652.64262968485,27346.480488592304
20250630,11240820,11240820021210,526,159.0,6608.186080898527,79598.24277957967,24061.065783180926
20250630,11240820,11240820020501,531,148.0,9475.424279972509,56039.70696302589,15619.35335315976
20250630,11240820,11240820020503,616,182.0,18089.793003967665,34052.352056482436,10060.922198506176
20250630,11240820,11240820020306,535,156.0,12184.511795291251,43908.20157494966,12803.139150826442
20250630,11240820,11240820020309,362,98.0,5522.37472085286,65551.50968532858,17745.988809840335
20250630,11240820,11240820020301,447,137.0,7052.683161702664,63380.1334543554,19425.231058717425
20250630,11240820,11240820020304,537,154.0,12117.676126318243,44315.4276778941,12708.707378762925
20250630,11240820,11240820020004,158,15.0,151998.3105345989,1039.4852379891088,98.68530740402932
20250630,11240820,11240820020205,380,116.0,9867.82750721193,38508.98282547764,11755.37370461949
20250630,11240820,11240820020204,522,155.0,13118.166653300914,39792.14579261726,11815.675474819302
20250630,11240820,11240820020203,411,123.0,14454.6609201172,28433.735130236983,8509.36598788114
20250630,11240820,11240820020502,552,159.0,15974.806437301644,34554.40929231316,9953.172241807595
20250630,11240820,11240820010304,483,149.0,19632.841931098035,24601.6344294474,7589.324078649405
20250630,11240820,11240820020202,517,154.0,15153.800976733755,34116.85297924732,10162.466844882181
20250630,11240820,11240820020201,490,140.0,12299.130937789992,39840.2133027496,11382.918086499885
20250630,11240820,11240820020401,467,135.0,9196.812155254109,50778.464550154415,14678.999388160271
20250630,11240820,11240820020402,538,162.0,12437.582798194888,43255.993445774846,13025.038918616217
20250630,11240820,11240820020701,592,217.0,11080.832428631522,53425.58908032434,19583.366267618887
20250630,11240810,11240810013102,411,147.0,11004.477303020358,37348.43452193721,13358.199208576083
20250630,11240820,11240820010201,519,267.0,14790.770415459485,35089.45007066942,18051.79801323456
20250630,11240820,11240820010202,535,158.0,9428.97796593239,56739.97775082256,16756.853242299
20250630,11240820,11240820010303,561,171.0,20189.273140614547,27787.03304931975,8469.844298455753
20250630,11240820,11240820010301,565,175.0,24385.72452395827,23169.293142998635,7176.329734557099
20250630,11240820,11240820010302,595,186.0,10969.92870774102,54239.185673115026,16955.442916301505
20250630,11240820,11240820010002,0,0.0,349008.87546271685,0.0,0.0
20250630,11240810,11240810012301,672,216.0,18247.085048224017,36827.800069107776,11837.507165070358
20250630,11240810,11240810010102,541,211.0,12186.964210468612,44391.69514712127,17313.581656270955
20250630,11240820,11240820020308,453,132.0,7077.0371275019725,64009.83799273897,18651.873322387513
20250630,11240820,11240820020302,542,153.0,13899.979427764016,38992.863465495604,11007.210535462782
20250630,11240820,11240820020307,435,124.0,7970.538291778232,54575.98772829574,15557.293053583153
20250630,11240820,11240820020303,540,163.0,9660.942868408958,55895.16544661355,16872.059199625943
20250630,11240820,11240820020305,503,152.0,5593.763185818398,89921.5757426471,27173.120303941072
20250630,11240820,11240820020104,604,171.0,19764.88441336124,30559.247773373798,8651.707564978344
20250630,11240820,11240820020002,986,700.0,224359.91173966532,4394.724495809658,3119.986964570751
20250630,11240820,11240820020103,572,172.0,9064.148617904384,63105.76140269039,18975.85832388592
20250630,11240820,11240820020102,578,168.0,9083.982682806416,63628.478849260864,18494.090738193467
20250630,11240820,11240820020101,542,152.0,10530.38298695162,51470.112784274,14434.422773449536
20250630,11240820,11240820020403,308,95.0,2749.8416296034366,112006.4503658044,34547.44410633577
20250630,11240540,11240540010005,0,0.0,25167.171080003678,0.0,0.0
20250630,11240540,11240540010502,536,319.0,5807.943925981878,92287.39237687888,54924.772701911126
20250630,11240540,11240540010901,451,175.0,3159.9622123867907,142723.22568672412,55380.409080214464
20250630,11240540,11240540010903,476,190.0,6725.100852384194,70779.60768889402,28252.364413634165
20250630,11240540,11240540010802,596,262.0,11995.275982176392,49686.22655165149,21841.931806262903
20250630,11240540,11240540010501,531,301.0,7900.298243004012,67212.65244261111,38099.82746746883
20250630,11240540,11240540010902,603,228.0,8020.479569209318,75182.53675440077,28427.22782753462
20250630,11240540,11240540010801,584,257.0,19258.532940091543,30324.220532097497,13344.734035529207
20250630,11240540,11240540011201,462,148.0,8809.41108453495,52443.914305582555,16800.21497235112
20250630,11240690,11240690060001,249,161.0,613366.2056792247,405.9565031370848,262.4859317472717
20250630,11240690,11240690030001,0,0.0,115770.43060883277,0.0,0.0
20250630,11240690,11240690030003,1352,1082.0,59267.387257869654,22811.87112429152,18256.245973730343
20250630,11240690,11240690030002,2495,2158.0,36427.37861832474,68492.43878188077,59241.155467454395
20250630,11240690,11240690020107,515,183.0,7167.215577392336,71854.96158710125,25532.928097940832
20250630,11240690,11240690020104,733,629.0,10079.228977471445,72723.81663700294,62405.56707322626
20250630,11240690,11240690010002,1621,1387.0,26687.70361427238,60739.58342122406,51971.5004350634
20250630,11240690,11240690010001,825,690.0,23279.8050983242,35438.44102283261,29639.423400914544
20250630,11240690,11240690010003,628,533.0,126498.38353230647,4964.490315717077,4213.492576874525
20250630,11240680,11240680011201,699,509.0,10221.408698751566,68385.87719179798,49797.44133136648
20250630,11240810,11240810013301,537,192.0,17837.83609884096,30104.548389414365,10763.637412974967
20250630,11240810,11240810012903,408,163.0,7476.458458790425,54571.2923102375,21801.766290609587
20250630,11240810,11240810012902,396,177.0,11826.337475319338,33484.58479444052,14966.594718727201
20250630,11240810,11240810012901,419,179.0,8756.282757193116,47851.3556058705,20442.4645667084
20250630,11240810,11240810012802,576,302.0,14845.081142768646,38800.73099368553,20343.438819605955
20250630,11240810,11240810013001,446,147.0,16385.512682277225,27219.166628969695,8971.339673673869
20250630,11240810,11240810012603,484,181.0,8791.240657872713,55054.80043554141,20588.675369489658
20250630,11240810,11240810012602,433,147.0,8575.111947385247,50494.96760587853,17142.633344258993
20250630,11240810,11240810013101,527,177.0,14440.117205090595,36495.5486520716,12257.518237982304
20250630,11240810,11240810012501,470,167.0,6499.365661079323,72314.74954771956,25694.815264828012
20250630,11240690,11240690020001,0,0.0,93032.2873469746,0.0,0.0
20250630,11240810,11240810012803,527,173.0,7919.932361317904,66540.97231612031,21843.620893147654
20250630,11240810,11240810012801,449,290.0,9040.955691495456,49662.89132711492,32076.254977423894
20250630,11240810,11240810012503,568,363.0,11576.771576665604,49063.7649916902,31355.892063351308
20250630,11240690,11240690020108,595,208.0,12462.062015223897,47744.90764635391,16690.656790658173
20250630,11240690,11240690020105,520,300.0,9863.783208106926,52718.109170588636,30414.293752262678
20250630,11240690,11240690020102,567,207.0,7930.308741951203,71497.84686194868,26102.3885369019
20250630,11240690,11240690020103,595,215.0,6535.789541355355,91037.20311603122,32895.79608394406
20250630,11240690,11240690020110,1727,1120.0,15112.108055747982,114279.22521657229,74112.75752319685
20250630,11240690,11240690020109,497,182.0,6274.563842546544,79208.69282259014,29006.00018855413
20250630,11240810,11240810012601,457,196.0,7479.80054288982,61097.88588338989,26203.907293532648
20250630,11240810,11240810012402,546,214.0,10083.435992159457,54148.20904546341,21222.9244244124
20250630,11240810,11240810012502,356,154.0,6527.604497889882,54537.61791405727,23592.11561450792
20250630,11240810,11240810010002,406,129.0,379333.82341431075,1070.2973869972157,340.06985941537147
20250630,11240810,11240810012703,551,189.0,8590.004169395912,64144.322765648765,22002.31760926972
20250630,11240810,11240810012401,633,230.0,10658.668951918211,59388.278485380746,21578.679386473257
20250630,11240810,11240810012701,512,168.0,7539.752401408344,67906.73920596702,22281.89880195793
20250630,11240810,11240810012702,554,191.0,10539.29326234491,52565.194478395155,18122.657302118187
20250630,11240810,11240810010003,413,193.0,49886.547308303656,8278.785008864621,3868.77846661228
20250630,11240810,11240810013201,521,172.0,15347.668683815029,33946.523783734236,11206.913801923778
20250630,11240810,11240810010502,544,199.0,13227.38213584726,41126.807588458236,15044.549099454392
20250630,11240810,11240810010005,554,273.0,19386.205198500356,28577.02135758139,14082.178394620432
20250630,11240690,11240690020101,662,528.0,6202.360328129313,106733.56028634105,85128.88192022368
20250630,11240810,11240810010501,544,194.0,8429.260169929612,64537.09922736228,23015.068474463755
20250630,11240810,11240810010001,404,200.0,9784.031291639973,41291.773090014576,20441.47182673989
20250630,11240690,11240690020106,625,473.0,9137.938308684505,68396.17196868281,51762.22294589916
20250630,11240810,11240810010503,464,170.0,10652.11109044144,43559.44057102122,15959.27779541726
20250630,11240810,11240810010016,435,226.0,27921.87412510325,15579.183476402533,8094.012564751662
20250630,11240680,11240680010020,564,230.0,22028.159635548054,25603.59146343947,10441.180915941626
20250630,11240810,11240810010007,479,226.0,10255.569864297948,46706.32703381132,22036.805656871315
