main_use,building_count,total_gross_area,avg_gross_area,ratio
공동주택,9433,16464714.8561,1745.4378094031592,0.34584784601283225
공장,2,66.12,33.06,7.332722273143904e-05
관광휴게시설,2,2067.5,1033.75,7.332722273143904e-05
교육연구시설,365,1257955.655,3446.4538493150685,0.013382218148487626
교정및군사시설,4,5824.95,1456.2375,0.0001466544454628781
근린생활시설,1,1643.6,1643.6,3.666361136571952e-05
노유자시설,137,104884.56,765.5807299270073,0.005022914757103575
단독주택,7442,2182136.694,293.2191203977426,0.2728505957836847
동.식물 관련시설,4,514.12,128.53,0.0001466544454628781
문화및집회시설,31,170778.63,5508.988064516129,0.0011365719523373052
발전시설,1,10826.53,10826.53,3.666361136571952e-05
방송통신시설,3,9611.1,3203.7000000000003,0.00010999083409715857
수련시설,2,25538.89,12769.445,7.332722273143904e-05
숙박시설,88,262408.2351,2981.9117625,0.0032263978001833182
업무시설,365,2467678.5725000002,6760.763212328768,0.013382218148487626
운동시설,27,346637.32,12838.419259259259,0.000989917506874427
위락시설,5,169363.47,33872.694,0.00018331805682859762
위험물저장및처리시설,37,15300.36,413.52324324324326,0.0013565536205316223
의료시설,55,554783.6799999999,10086.975999999999,0.0020164986251145736
자동차관련시설,115,59723.69,519.3364347826088,0.0042163153070577455
제1종근린생활시설,2122,1590573.556,749.563409990575,0.07780018331805683
제2종근린생활시설,2585,2146524.0959,830.3768262669246,0.09477543538038496
종교시설,88,249116.375,2830.8678977272725,0.0032263978001833182
창고시설,23,7418.14,322.5278260869565,0.000843263061411549
판매시설,51,746003.9512,14627.528454901962,0.0018698441796516957
,4287,264388578.91,61672.16676230464,0.1571769019248396
